sample,sample_uid,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38,PC39,PC40,PC41,PC42,PC43,PC44,PC45,PC46,PC47,PC48,PC49,PC50,PC51,PC52
Por2_W4,220334,0.30119360344028034,-0.09923176268798733,-0.06931413701960587,-0.06446311699050775,-0.10988816200282552,-0.008472079029905665,-0.024025751392048503,-0.01348401888291477,-0.0046795461063716395,-0.004249929609328211,-0.01585912926673051,-0.0018516554432114788,-0.0036089815752931164,-0.005196696046645453,-0.02757540532048187,-0.0017184966305864085,0.00542586350330771,-0.005084180422766669,0.015355300043587278,-0.021366956878033805,0.00019490568232957578,-0.003931851298711175,0.0010212741187401472,-0.0006155829922928303,-0.0011720173724650866,-0.0005130725963631544,-0.00018720667334184586,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Por2_W5,220335,0.34396126554476225,-0.08999346073988569,-0.09307040786743703,-0.06420866419200477,-0.05369776508009712,0.025221056516104533,0.06002242170282883,0.024042999522730715,-0.03162320360675439,-0.003469741236744363,-0.02861925750305263,-0.012700545143631111,0.01674310614028979,-0.0007179326747768992,0.016478306605100725,0.013292065214180292,0.013718722247314038,0.010944334986027133,-0.007669103688573224,0.00832336850795072,-0.0006104005736863514,-0.0030395128809483723,-0.0013586758103283796,0.004887526596321468,-0.0022015783956758836,-0.004087341965680819,-0.00019558894047852954,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Por2_W6,220336,0.33968997097062287,-0.09760865819941254,-0.10241649900314112,-0.045901162767854886,0.03217525505043089,0.03182094108888113,-0.03858189042612893,0.02275313791256369,0.026147083343806717,-0.02792290979218074,-0.045904371790759846,0.03263830929362006,-0.03841805777441146,-0.02704348100538117,-0.018860558631678022,-0.014515067153889234,-0.007008739150291358,0.003870635258218379,0.0028582546115906156,-0.008641849289828174,-0.0012576342265005222,-0.0027726228902751433,0.001097913682109883,-0.004050260346374556,-0.0022357506805906298,-0.0035585027627555443,5.175796668136319e-05,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Por2_E1,220337,0.3366484593649361,-0.09098274719349518,-0.10253676472802538,-0.024869470668106578,0.03423111340699809,0.014701786243546804,-0.013643471257807894,0.012542783301211044,0.004250519225069302,-0.009741115538458144,-0.02404796544594529,0.011668336776528657,0.013805450193072354,0.026661754306832326,0.01640191462622104,0.0015009579708431013,-0.014013583059036066,-0.0020774607177297478,-0.028699989239418428,0.0030949979397746808,-0.017103940196524826,-0.004115227905032077,-0.0040731070137066646,-0.005790108616085847,0.0003481166246014101,0.002445064093986098,0.00014778195067317437,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Por2_E2,220338,0.28682971885255076,-0.10390691612318824,-0.0714852026355514,0.0028942100073884396,0.044877607600066545,0.050287579243910425,-0.04183398326521941,-0.014979618994724308,-0.027285992342585892,0.01590328539812042,0.049086233314928604,-0.025309952819346344,0.022375174816574857,-0.0008676409923216464,0.006817572767428334,0.01699614615361825,0.001346691308188268,0.014209130662946174,0.01675431056759972,-0.024007952638071192,-0.003834563765212803,-0.011778948807466,-0.0026934497135804635,-0.014203342479622409,-0.0022749027487139048,0.00046460102229118017,0.00028841793230697854,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Por2_E3,220339,0.28736273900672965,-0.10298222650721449,-0.07543056402108869,0.019665095875096718,0.04670260918169531,0.025416113504419083,-0.017263851877223072,-0.010847112210882368,-0.008984888213022155,0.009527057281719374,0.03507608287837539,-0.014574485817820214,-0.005407384941048101,-0.039629830403272705,0.0021034605725589106,0.007006213575000971,0.014909834447558553,0.008134087485673873,0.0019373310528519605,0.020238187540352347,0.0021222462298405363,0.0010242882287142306,-0.0022798773344143274,0.008206614926004439,-0.0028846067008832734,-0.0018159551951140757,-0.00031527240251647015,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Por2_E4,220340,0.34709227722913316,-0.10120413554188723,-0.11038060910096398,-0.037091259596130986,0.023291770299401375,0.027618791889268343,-0.020431225669996556,0.027144794345653925,0.020603581729090235,-0.01086970611704717,-0.05248270622117568,0.004142717624981424,-0.011239492235087205,0.010579567601971741,0.018663651657687713,0.002905223004030011,0.01819643705940119,-0.01891106393770661,0.016142831373039807,0.0020862224529452234,0.01800000056423485,0.0051415116650614275,0.0050083160451535715,0.005429833002036967,0.0021560379574625823,0.005893409786525035,9.775683434543454e-05,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Por2_E5,220341,0.3024886444088653,-0.09702187721685605,-0.07989311807109369,0.010470419039451439,0.031383624489584816,0.029705537766125608,-0.01708957486326246,-0.005974043700333254,-0.020423554632308247,0.012915623755370352,0.009049173933878394,-0.016596278680435974,0.035116295015721194,0.04522524950907435,2.5812628454615143e-05,-0.013755246726895957,0.006029147187530396,-0.0053632925969581205,0.0065932738902970455,-0.010271736815349037,0.0045201728805523735,0.0019341342981756145,0.007005013349772123,0.00849598531584796,0.004832554997387153,-0.0012569722879667762,-0.00017986711251915911,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Por2_E6,220342,0.2880926507687147,-0.09470600531746191,-0.06275227382358133,-0.063913655914133,-0.10293554886695275,0.027492152659951558,-0.04518110991825329,-0.030714441275379416,-0.032306855274484174,-0.010586156339704268,0.019250151488927288,0.009703640349119583,-0.00642791453222367,-0.006589698521256854,0.009307698255843164,0.002196438397078679,-0.020093666524084952,-0.002475351955029376,-0.008504963856813546,0.009020745917793591,0.0057153269812955845,0.006227205379388718,-0.00017684971317482123,-0.0037229476010052676,0.0016946506363825372,0.0016967264546916138,0.00021472090781447705,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Por3_E1,220343,-0.07678535866434719,0.324016203644024,0.017164626460401466,0.09963932857378108,-0.08055989739774626,0.014821495700062994,-0.08740399642958657,-0.025653341876662794,0.026712581936156905,0.0651708057842575,-0.005534581101042234,-0.014179644994559088,-0.015181228407380063,-0.006137268826238415,-0.008689862419921689,-0.008648972711545102,0.007829864680503274,0.0048680258330031,-0.007632082739059772,0.0014899801261339166,-0.007192642203329436,-0.00541908899851567,-0.0008240621774960612,0.000780119915218743,0.0018652521586602537,0.0021057832761576137,-1.1982977418452038e-06,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
