sample_uid	A1	C15	C15ev	C15by	C116aa	C15ai	16589_C	10255_C	C15wu	C15ad	C93l	C15dt	C15ks	67579_C	C15pm	C15tf	C116	C116ab	3075641_C	69713_C	C15qx	54734_C	C15jr	10257_C	C15gk	C15kl	139454_C	13451_C	C15gu	C15er	C15vq	7149_C	C15je	4548_C	C15ct	604_C	C15cn	C15ir	C15bb	C15sw	38402_C	4712_C	4686_C	139579_C	14683_C	C15ou	C15dn	C15bo	C116bf	154454_C	C15jk	C15qn	16193_C	139827_C	3089325_C	20702_C	C116ak	C15kt	C15bn	C116i	C116ao	4284019_C	C3pa	22917_C	17354_C	21431_C	151947_C	3085819_C	C15mg	C15af	54722_C	350908_C	C15bc	C15gr	C15ed	5144099_C	C15we	564_C	D1	D2ac	D2	D2d	D6	5144098_D	D1z	D1np	D17o	D4	D5
220345	0	21281	0	0	718	284	0	527	0	327	586	0	0	0	0	558	338	213	0	0	0	0	0	0	0	0	397	0	187	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
220350	0	19767	0	0	658	283	0	584	0	310	621	0	0	0	0	595	209	202	0	0	0	0	0	0	0	0	392	0	177	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0
220344	0	22714	0	0	816	282	0	692	0	335	817	0	0	0	0	589	303	255	0	0	0	0	0	0	0	0	393	0	183	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	186	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
220349	0	28018	0	0	1008	368	0	806	0	406	901	0	0	0	0	793	423	278	0	0	0	0	0	0	0	0	501	0	235	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	172	0	0	0	0	0	0	0	204	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
220343	0	21205	114	0	591	249	0	507	0	249	587	0	0	0	0	523	259	170	0	0	0	0	142	0	0	0	308	0	154	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	175	0	0	0	0	0	0	0	117	0	0	0	0	121	0	0	0	0	0	0	0	0	0	0	0	0	0	0
220361	10	21072	0	0	667	618	0	0	0	975	338	0	0	0	0	0	611	676	0	0	0	0	0	0	0	0	193	0	500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	438	0	0	0	0	0	0	0	0	0	0	0	236	227	0	0	167	191	0	165	134	0	0	0	122	0	0	0	0	0	0	0	0	0	0	23	5	11	0	0	0	0	0	0	0	0
220365	0	20843	0	0	583	446	0	134	0	857	326	0	0	0	0	136	430	517	0	0	0	0	0	0	0	0	184	240	400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	342	0	0	0	0	0	0	0	0	0	0	0	148	174	0	0	162	114	0	153	137	0	0	133	0	161	0	0	0	0	0	0	0	0	0	0	0	0	6	0	8	0	0	0	0	0
220366	0	11537	0	0	418	256	0	0	0	526	161	0	0	0	0	95	254	313	0	0	0	0	0	0	0	0	126	182	306	0	0	0	0	0	0	0	0	0	0	0	0	0	0	236	0	0	0	0	0	0	0	0	0	0	0	90	103	0	0	94	73	0	78	70	0	0	0	83	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0
220362	0	20044	0	0	575	572	0	0	0	871	300	0	0	0	0	142	509	634	0	0	0	0	0	0	0	0	0	0	594	0	0	0	0	0	0	0	0	0	0	0	0	0	0	437	0	0	0	0	0	0	0	0	0	0	0	291	250	0	0	189	216	0	146	135	0	0	0	156	181	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0
220352	0	23474	235	315	0	0	0	0	0	0	0	0	0	0	242	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	411	396	0	0	0	255	0	0	0	303	0	262	0	0	0	169	199	187	0	0	0	164	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
