sample_uid	sample_name	fastq_fwd_file_name	fastq_fwd_sha256_file_hash	fastq_rev_file_name	fastq_rev_sha256_file_hash	data_set_uid	data_set_name	raw_contigs	post_qc_absolute_seqs	post_qc_unique_seqs	post_taxa_id_absolute_symbiodiniaceae_seqs	post_taxa_id_unique_symbiodiniaceae_seqs	size_screening_violation_absolute	size_screening_violation_unique	post_taxa_id_absolute_non_symbiodiniaceae_seqs	post_taxa_id_unique_non_symbiodiniaceae_seqs	post_med_absolute	post_med_unique	noName Clade A	noName Clade B	noName Clade C	noName Clade D	noName Clade E	noName Clade F	noName Clade G	noName Clade H	noName Clade I	sample_type	host_phylum	host_class	host_order	host_family	host_genus	host_species	collection_latitude	collection_longitude	collection_date	collection_depth
220360	Por5_E2	20240422_MY_BBr_Por5_East_middle2_field_MetaB_ITS2_Q2181824E4_Q2181206GM_2411-cv-1380_R1.fastq.gz	a122a0e1dfd9507d0e4a66d5ccd594a4c71dc250ac28284c510547000360e710	20240422_MY_BBr_Por5_East_middle2_field_MetaB_ITS2_Q2181824E4_Q2181206GM_2411-cv-1380_R2.fastq.gz	2cc5ec94860cea466a7738bce7d95330dafa06edfd352207b1a2624047b34933	1154	20250219T114321_schloma1	2.5753895611019333	1.0331740858150644	0.017145153368754745	1.030807697459481	0.01696655802116355	0.0022324418448899405	0.00013394651069339645	0.00013394651069339645	4.4648836897798814e-05	1.0	0.0008036790641603786	0	0	0.014019734785908827	0	0	0	0	0	0	coral tissue	Cnidaria	Hexacorallia	Scleractinia	Portidae	Porites	sp.	5.80202800	102.89525000	20240422	9
220345	Por3_E3	20240420_MY_BB_Por3_East_middle3_field_MetaB_ITS2_Q2181809EU_Q2181176GV_2411-cv-1365_R1.fastq.gz	73b2c83eded8d2e0e5b5afa12b0c590d7bb1aaf5c43af6ea12c15521fcdb0bec	20240420_MY_BB_Por3_East_middle3_field_MetaB_ITS2_Q2181809EU_Q2181176GV_2411-cv-1365_R2.fastq.gz	d41908108a8c638c83a08795c6f2d0f7a65cbe733ea74f95336f4b919c2e27f2	1154	20250219T114321_schloma1	2.5127478753541075	1.0383223166509286	0.0170758577274158	1.0383223166509286	0.0170758577274158	0.0	0.0	0.0	0.0	1.0	0.00043279823733081524	0	0	0.03635505193578848	0	0	0	0	0	0	coral tissue	Cnidaria	Hexacorallia	Scleractinia	Portidae	Porites	sp.	5.79654900	102.90168900	20240420	6.1
220350	Por3_W4	20240420_MY_BB_Por3_West_bottom4_field_MetaB_ITS2_Q2181814EV_Q2181186G4_2411-cv-1370_R1.fastq.gz	87fc4fe4b8bd2703502a9d2f186b2dc4fea954ad61922064539f29bf645f74a5	20240420_MY_BB_Por3_West_bottom4_field_MetaB_ITS2_Q2181814EV_Q2181186G4_2411-cv-1370_R2.fastq.gz	d116cd620392396f398899a7455c342b5144830dac6b5c73efe59f03d5f7fa82	1154	20250219T114321_schloma1	2.5405201025080872	1.0415073730202076	0.015796328193925135	1.0413393269755913	0.01575431668277108	0.0	0.0	0.00016804604461622484	4.201151115405621e-05	1.0	0.0005041381338486746	0	0	0.04100323488635886	0	0	0	0	0	0	coral tissue	Cnidaria	Hexacorallia	Scleractinia	Portidae	Porites	sp.	5.79654900	102.90168900	20240420	7.4
220344	Por3_E2	20240420_MY_BB_Por3_East_middle2_field_MetaB_ITS2_Q2181808EM_Q2181174GF_2411-cv-1364_R1.fastq.gz	8ca7192a4ed4dda8ce6d1c7d7c86f2643f38aad69a68060a3596af7e02dc0b14	20240420_MY_BB_Por3_East_middle2_field_MetaB_ITS2_Q2181808EM_Q2181174GF_2411-cv-1364_R2.fastq.gz	77683a88ccb37d05feea9f975ade44f5569c22d83a73d177e7efb8c7ecb9d182	1154	20250219T114321_schloma1	2.514529294395066	1.0376927262833302	0.01534554688917105	1.0375476147288227	0.015309269000544167	0.0	0.0	0.00014511155450752766	3.6277888626881916e-05	1.0	0.00043533466352258296	0	0	0.04610919644476691	0	0	0	0	0	0	coral tissue	Cnidaria	Hexacorallia	Scleractinia	Portidae	Porites	sp.	5.79654900	102.90168900	20240420	5.7
220349	Por3_W3	20240420_MY_BB_Por3_West_middle3_field_MetaB_ITS2_Q2181813EN_Q2181184GM_2411-cv-1369_R1.fastq.gz	93e1f6c3b6750f3c1dc8336e7a93bdf2e4f9495807a57989d4489975722dabf9	20240420_MY_BB_Por3_West_middle3_field_MetaB_ITS2_Q2181813EN_Q2181184GM_2411-cv-1369_R2.fastq.gz	d2b6c509487136691318e946ed37de059fa3539b77865b4f5900f16c13f9409d	1154	20250219T114321_schloma1	2.4750388414973763	1.0299885674083193	0.013367337964998682	1.029695424031894	0.01333802362735614	0.0	0.0	0.00029314337642540966	2.931433764254097e-05	1.0	0.00038108638935303255	0	0	0.043355905373318085	0	0	0	0	0	0	coral tissue	Cnidaria	Hexacorallia	Scleractinia	Portidae	Porites	sp.	5.79654900	102.90168900	20240420	6.7
220343	Por3_E1	20240420_MY_BB_Por3_East_top1_field_MetaB_ITS2_Q2181807EE_Q2181172GX_2411-cv-1363_R1.fastq.gz	829fe1aa31b82e93fdf40b3c8cdd55dbe4469060e38fed42bf357dba3531f6a9	20240420_MY_BB_Por3_East_top1_field_MetaB_ITS2_Q2181807EE_Q2181172GX_2411-cv-1363_R2.fastq.gz	1d80d49dfeadb47777fc3a3b758262f724216ae1e358ef6e6c4ebb2ade7812f7	1154	20250219T114321_schloma1	2.6021750225746927	1.0491539397746457	0.017667150877468493	1.0487613364218131	0.01762789054218523	0.00039260335283263317	3.926033528326332e-05	0.0	0.0	1.0	0.0006281653645322131	0	0	0.038867731930430686	0	0	0	0	0	0	coral tissue	Cnidaria	Hexacorallia	Scleractinia	Portidae	Porites	sp.	5.79654900	102.90168900	20240420	5.4
220361	Por5_E3	20240422_MY_BBr_Por5_East_middle3_field_MetaB_ITS2_Q2181825EC_Q2181208G4_2411-cv-1381_R1.fastq.gz	4993f297f15ead84b9478de849de1cc1e6ddacd9268f130b57a982b4b8aab3ed	20240422_MY_BBr_Por5_East_middle3_field_MetaB_ITS2_Q2181825EC_Q2181208G4_2411-cv-1381_R2.fastq.gz	5e4e3274735e57ab8893561bb6bf082bb62e0a53fe8f1988f9c4b579d9c3bb4d	1154	20250219T114321_schloma1	2.583732057416268	1.0238503962891268	0.014354066985645933	1.0233025311370028	0.014317542642171006	0.0	0.0	0.0005478651521238906	3.652434347492604e-05	1.0	0.0007670112129734468	0	0	0.041016837722341944	0	0	0	0	0	0	coral tissue	Cnidaria	Hexacorallia	Scleractinia	Portidae	Porites	sp.	5.80202800	102.89525000	20240422	9.3
220365	Por5_W3	20240422_MY_BBr_Por5_West_middle3_field_MetaB_ITS2_Q2181829EA_Q2181216GT_2411-cv-1385_R1.fastq.gz	7019f6dbc41a4ec7fa34b0ef2038a2203a40a5d68eecc63d3335e84e4d6f86a4	20240422_MY_BBr_Por5_West_middle3_field_MetaB_ITS2_Q2181829EA_Q2181216GT_2411-cv-1385_R2.fastq.gz	cadcccb2077b3422ea91d7bd8bdeee7f9b72efbaf4e92d8c8468a29b21001be1	1154	20250219T114321_schloma1	2.544792370654051	1.0238792520838027	0.01708342719831794	1.0234662461515356	0.017045881204475484	0.0	0.0	0.0004130059322670271	3.754599384245701e-05	1.0	0.0008635578583765112	0	0	0.049485619884358345	0.00030036795073965606	0	0	0	0	0	coral tissue	Cnidaria	Hexacorallia	Scleractinia	Portidae	Porites	sp.	5.80202800	102.89525000	20240422	10.2
220366	Por5_W4	20240422_MY_BBr_Por5_West_bottom4_field_MetaB_ITS2_Q2181830ED_Q2181218GB_2411-cv-1386_R1.fastq.gz	70d26d818b649c24f67d2fec7a4694b2e30e3551e1bb626c7f0d24dedc861be8	20240422_MY_BBr_Por5_West_bottom4_field_MetaB_ITS2_Q2181830ED_Q2181218GB_2411-cv-1386_R2.fastq.gz	066b3f837f32021b8dacce0eadd4b495d9085acb5d12659250b17a0d11a91d7b	1154	20250219T114321_schloma1	2.7083166733306676	1.014594162335066	0.01879248300679728	1.0140610422497667	0.018659202985472478	0.0	0.0	0.0005331200852992136	0.0001332800213248034	1.0	0.0013328002132480341	0	0	0.05244568839131014	0	0	0	0	0	0	coral tissue	Cnidaria	Hexacorallia	Scleractinia	Portidae	Porites	sp.	5.80202800	102.89525000	20240422	10.8
220362	Por5_E4	20240422_MY_BBr_Por5_East_bottom4_field_MetaB_ITS2_Q2181826EK_Q2181210GF_2411-cv-1382_R1.fastq.gz	b5d5c58ff96cb4dd0d84a38ba3256bf48cfa296c000d32fca8548b66541644b7	20240422_MY_BBr_Por5_East_bottom4_field_MetaB_ITS2_Q2181826EK_Q2181210GF_2411-cv-1382_R2.fastq.gz	a3c3c15681c17ad7d5161ceea8cc46b558aa5aefac4fe596e27de41655ac5083	1154	20250219T114321_schloma1	2.536058516514915	1.0171816069183588	0.016838736713779574	1.0166101565773935	0.01680064002438188	0.0	0.0	0.0005714503409653701	3.809668939769134e-05	1.0	0.0007238370985561354	0	0	0.03882052649624747	0	0	0	0	0	0	coral tissue	Cnidaria	Hexacorallia	Scleractinia	Portidae	Porites	sp.	5.80202800	102.89525000	20240422	9.9
